abandon|버리다
recover|회복하다
reduce|줄이다
refer|언급하다
reflect|반영하다
refuse|거절하다
regard|간주하다
region|지역
register|등록하다
regular|정기적인
regulate|규제하다
reject|거절하다
relate|관련되다
release|출시하다
relevant|관련 있는
reliable|신뢰할 수 있는
relief|안도
relieve|완화하다
rely|의존하다
remain|남다
remark|발언
remarkable|놀라운
remind|상기시키다
remove|제거하다
replace|대체하다
reply|답하다
report|보고하다
represent|대표하다
request|요청하다
require|요구하다
research|연구
reserve|예약하다
resident|거주자
resist|저항하다
resolve|해결하다
resource|자원
respond|응답하다
response|응답
responsible|책임 있는
restore|복원하다
restrict|제한하다
result|결과
retain|유지하다
retire|은퇴하다
return|돌아오다
reveal|드러내다
revenue|수익
review|검토
revise|수정하다
reward|보상
risk|위험
role|역할
route|경로
routine|일상
rule|규칙
safety|안전
salary|급여
sample|샘플
satisfy|만족시키다
scale|규모
schedule|일정
scheme|계획
scope|범위
score|점수
section|부분
sector|부문
secure|안전한, 확보하다
seek|추구하다
select|선택하다
senior|선임의
sense|감각
sensitive|민감한
separate|분리하다
sequence|순서
series|연속
serious|심각한
serve|봉사하다
service|서비스
session|회기
settle|해결하다
severe|심각한
shift|변화
shortage|부족
significant|중요한
similar|유사한
simple|간단한
simulate|모의하다
simultaneous|동시의
site|장소
situation|상황
skill|기술
slight|약간의
smooth|매끄러운
solution|해결책
solve|해결하다
source|출처
specific|구체적인
specify|명시하다
stable|안정적인
staff|직원
stage|단계
standard|표준
state|상태, 진술하다
statement|성명
status|지위
steady|꾸준한
strategy|전략
strength|강점
stress|스트레스, 강조하다
strict|엄격한
strike|파업, 치다
structure|구조
struggle|고군분투하다
subject|주제
submit|제출하다
subsequent|이후의
substance|물질
substantial|상당한
substitute|대체하다
succeed|성공하다
success|성공
sufficient|충분한
suggest|제안하다
suitable|적합한
summary|요약
supervise|감독하다
supply|공급
support|지원하다
suppose|가정하다
surface|표면
surplus|잉여
survey|설문
survive|살아남다
suspect|의심하다
sustain|유지하다
switch|전환하다
symbol|상징
symptom|증상
system|체계
target|목표
task|과제
tax|세금
technical|기술적인
technique|기법
technology|기술
temporary|일시적인
tend|경향이 있다
term|용어, 기간
terminate|종료하다
terms|조건
territory|영토
test|시험
theme|주제
theory|이론
therefore|그러므로
throughout|~전체에
thus|따라서
tight|꽉 조이는
topic|주제
total|총
trace|추적하다
track|추적하다
trade|무역
tradition|전통
transfer|이전하다
transform|변형하다
transition|전환
transmit|전송하다
transport|운송
trend|추세
trigger|촉발하다
typical|전형적인
ultimate|궁극의
undergo|겪다
underlie|기반을 이루다
undertake|착수하다
uniform|균일한
union|연합
unique|독특한
unit|단위
unite|통합하다
unless|~하지 않으면
update|업데이트
upgrade|업그레이드
upset|속상하게 하다
urban|도시의
urge|촉구하다
urgent|긴급한
usage|사용
useful|유용한
utility|유틸리티
utilize|활용하다
vacant|비어 있는
valid|유효한
value|가치
variable|변수
variety|다양성
various|다양한
vary|다양하다
vast|광대한
vehicle|차량
venture|벤처
version|버전
via|~을 통해
violate|위반하다
virtual|가상의
visible|눈에 보이는
vision|비전
visit|방문하다
vital|필수적인
volume|양
voluntary|자발적인
vote|투표
wage|임금
waste|낭비
weak|약한
wealth|부
welfare|복지
whereas|반면에
wherever|어디든
whether|~인지
widespread|광범위한
withdraw|철수하다
within|~안에
witness|목격하다
worth|가치 있는
yield|산출하다
